"locus_tag","logFC","logCPM","LR","PValue","q.value"
"BW25113_4055",-0.00596307432330664,8.21539400321339,0.000891919665223284,0.97617470011441,0.994270371294794
"BW25113_4056",0.144936438273258,7.25459862024228,0.387520371907343,0.533605687659519,0.878220848205902
"BW25113_4057",0.17690149757717,6.13405471963928,0.636192643684183,0.425092868205473,0.82289936987073
"BW25113_4058",-0.227968161993572,9.6472931478079,1.72348376604201,0.189245224740162,0.609199515596138
"BW25113_4060",-0.109042571592522,7.16931899283125,0.304655656740262,0.580978356206743,0.898343942461545
"BW25113_4061",-0.0119733879905246,10.4029658858511,0.00347869725797523,0.952967654144874,0.989426147364604
"BW25113_4062",-0.41557475881746,7.02208444362259,4.19569751554071,0.0405266780128872,0.274118896306392
"BW25113_4063",0.572527904204642,7.40571409572684,9.00869071204576,0.00268698836657497,0.0416120090283096
"BW25113_4459",-0.410349356324531,5.84205189858147,3.1913495650421,0.0740288729731249,0.381167919762778
"BW25113_4064",-0.205021194350884,9.21011484132226,1.40197703635849,0.236392830645016,0.663719681916428
"BW25113_4065",0.0774781160980715,8.98066161832567,0.14318374990655,0.705136226160531,0.929910278044034
"BW25113_4067",0.0425444133890648,8.79729113278724,0.0610699782265682,0.80481271934672,0.959495411065858
"BW25113_4068",0.217415706496959,6.63738731898629,1.12096946792321,0.289709798176086,0.731754408365416
"BW25113_4069",0.0464139466322146,9.31809636889517,0.0647635310500156,0.799119501058168,0.957072535007774
"BW25113_4070",-0.157637202538055,8.8639581093629,0.797052881003738,0.371975972923126,0.79773612548587
"BW25113_4071",0.0353554160380122,7.54534004171383,0.0244056074666332,0.875857294005819,0.97368725228862
"BW25113_4072",0.168624779513839,7.63496014870639,0.748565101328063,0.386930908765395,0.804134650289119
"BW25113_4073",-0.0574028534413404,8.12402354536328,0.0837547881132625,0.77227208510393,0.948751416452879
"BW25113_4074",0.0886127294574303,8.82112355984377,0.237025208430429,0.626362970383084,0.911064154595846
"BW25113_4075",-0.0756914263361292,6.44047440915593,0.111637219089484,0.738287829006193,0.944350301868788
"BW25113_4076",0.0443274258315566,7.97085011134556,0.039357827516433,0.842741448345296,0.967071311404825
"BW25113_4077",0.0568425799816423,8.44610453597052,0.0853678628004104,0.770150689710121,0.948751416452879
