"locus_tag","logFC","logCPM","Pvalue","q.value"
"BW25113_3652",1.06665259456588,10.8666013560926,29.4531852748771,5.72838134900061e-08
"BW25113_3653",-0.0262791006760271,8.99658145387041,0.017878262573416,0.89363219754284
"BW25113_3654",-0.0294743894843724,9.66088283826545,0.0217918802219117,0.882642093379115
"BW25113_3655",-0.00492142333578818,10.426104375574,0.0005866706313995,0.980676100392692
"BW25113_3656",0.0247855111583644,10.8340606441043,0.0140371165535953,0.90568865803987
"BW25113_3657",0.0978887267753823,10.0109024881992,0.247932054084107,0.618534960356072
"BW25113_3658",-0.0743991543042447,6.62111838881384,0.0938030625466304,0.75939690429924
"BW25113_4653",-0.00719594850177864,8.22439349813745,0.00113698736624457,0.973101033792338
"BW25113_3659",-0.0807637094162319,10.3309240637116,0.157780672525448,0.691208071313498
"BW25113_3660",0.120041916604745,11.7303754557211,0.361938338744295,0.547431697618211
"BW25113_3661",-0.00722407759386919,11.7958516874474,0.00141552999851058,0.969987847092439
"BW25113_4555",-0.00644705819107885,8.56089211570558,0.000907186281267514,0.975971722542334
"BW25113_3662",-0.093633231516014,9.50590673625398,0.229174711978307,0.632136443409212
"BW25113_3663",0.101382481248904,7.92104515882691,0.193083206729856,0.66036278489668
"BW25113_3664",-0.132368484584303,11.0237325856219,0.451304549493763,0.50171609480631
"BW25113_3665",-0.131497037248305,10.6639403718816,0.460034497307049,0.497607851256945
"BW25113_3666",-0.201089423293086,9.54229424633407,1.06919981228788,0.3011262592027
"BW25113_3667",0.0270357641042508,9.80656411595096,0.0161194716725976,0.898970093721226
"BW25113_3668",-0.123395406104881,10.1036895001369,0.410464512014254,0.521733831538917
"BW25113_3669",-0.127974791715557,8.54377931597914,0.391536098456431,0.53149306645531
"BW25113_3670",-0.0603123677462041,7.33326710511316,0.0687817228919374,0.793118918219524
"BW25113_3671",-0.136500192016817,10.4608782732839,0.50334779135288,0.478032813622902
"BW25113_3672",0.0898516034240493,6.45887951134997,0.0886810006912597,0.765860734787884
"BW25113_4616",0.220270481005969,6.06722975017172,0.586641038120613,0.44372095578331
"BW25113_4618",-1.46384165874945,4.84219209568583,22.7019368819394,1.89177087049561e-06
"BW25113_3673",0.385250563931245,9.64892961793048,3.86457106548169,0.0493157978370667
"BW25113_3674",-0.145076816402821,8.8993338032468,0.365563965694051,0.545432272383555
"BW25113_3675",-0.257972017116994,7.91198355696682,1.34530518174352,0.246100551166081
"BW25113_3676",-0.134143006715785,7.96362122763504,0.335737814340754,0.562299829347371
"BW25113_3677",-0.19779208080792,6.86912684399038,0.775895493223306,0.37839939075286
"BW25113_3678",-0.155100806386974,10.2228892159701,0.648748234925769,0.420560574009846
"BW25113_3679",-0.166295012739509,10.9897998612573,0.728195038603289,0.393468873080926
"BW25113_3680",-0.227617726382508,10.4581095607064,1.37512167786704,0.2409338540076
"BW25113_4556",-0.0362466873418134,8.92171658644172,0.0303189986432812,0.861768392810332
"BW25113_3683",-0.036069301219184,10.3613684473123,0.0350930056470808,0.851400905088236
"BW25113_3684",-0.00563943212229909,8.7637857695187,0.000662760668909357,0.97946141805086
"BW25113_3685",-0.0689970389480037,10.5092625962282,0.126056572943649,0.722556279273113
"BW25113_3686",-0.0650348785474143,8.35542227821376,0.101683571403242,0.749818560853502
"BW25113_3687",-0.165394127011292,8.6688327863777,0.674997258377903,0.411314741707393
"BW25113_3688",0.0536419934736941,7.93355630391959,0.0674528811180076,0.795082136288596
"BW25113_3689",0.0194277654615635,9.99817056700736,0.00991775732526179,0.920671470576424
"BW25113_3690",-0.145375108727881,9.48221487092378,0.520238955704562,0.470739768094635
"BW25113_3691",0.0303923174478776,10.3522652323855,0.0247518176130281,0.874987060440702
"BW25113_4478",0.0602831726251877,9.67011185114065,0.0814366963482485,0.775359803790683
"BW25113_4477",-0.104874707656418,8.95482768082108,0.237200862296106,0.62623514955405
"BW25113_3693",-0.0275367399970474,9.10391608945334,0.0180743864102348,0.893053851027855
"BW25113_4479",0.200117945206455,9.3032604719175,0.878870931079865,0.348511108821556
"BW25113_3696",-0.0617592995360627,9.31864416677452,0.0962455635783357,0.756382491346703
